,screen_names,texts,dates,langs
0,excessvs,"+ La vida de una italiana estaba llena de clichés, y por eso mismo, su mano rozó la de Khalid cuando este buscaba l… https://t.co/DkfjetQ1aK",2021-04-28 00:20:33,es
1,EuSiso,tengo +3 meses sin comer hamburguesa o pasta y mi cuerpo ya está y que “BUENO CHICA PERO Y ENTONCES?”,2021-04-28 00:20:28,es
2,_Sosaluis_,Que ganas de una hamburguesa,2021-04-28 00:20:14,es
3,SierraTeff,"Milanesa o hamburguesa
TEAM CAFINAPP",2021-04-28 00:20:06,es
4,pjmfilia,@yadom_pardon hamburguesa o pizza,2021-04-28 00:19:54,pt
5,DraArias,Estoy haciendo un pan brioche de hamburguesa que ya me lo estoy saboreando,2021-04-28 00:19:48,es
6,aaaannii,Que dificil querer una hamburguesa y dejar de ser obesa a la vez,2021-04-28 00:19:47,es
7,melissagaes,kiero una hamburguesa,2021-04-28 00:19:43,es
8,MarceeAz,Con unas ganas de comerme una hamburguesa con todo y full de salsaaaaa,2021-04-28 00:19:37,es
9,LunaGilV,"""La hamburguesa no lleva pinches frijoles, y menos bayos""

Mahatma Gandhi.",2021-04-28 00:19:34,es
10,CalitoGonzalez,Ayer me comí una hamburguesa más bueeeena 🤤,2021-04-28 00:19:29,es
11,MajoMCR,"Usa 🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
champiñones:… https://t.co/hTO3A9JN5v",2021-04-28 00:19:10,es
12,MarEV54573240,"Alguien traigame una hamburguesa, por favoooooooooor",2021-04-28 00:19:10,es
13,soler_lore,"Solo unita.
Usa🤢 para marcar lo que no comes

mostaza: 
pepinillo: 
cilantro: 
pizza con piña: 
sushi: 
brócoli: 
c… https://t.co/EAJ3UrCCKV",2021-04-28 00:18:57,es
14,kookego,Y ahora me invitaron a una hamburguesa con papas jajajaja mañana la dieta,2021-04-28 00:18:49,es
15,dianaaazamora,no debí comerme una hamburguesa y media,2021-04-28 00:18:40,es
16,RappiCuponesAr2,"$400 GRATIS ➕ $8.000 en envíos

.🍻🍔🍟🍕😍❤

 CODIGO: matias427

#Rappi #rappicreditos #rappiprime #hambre #regalo… https://t.co/16xfLc6uiB",2021-04-28 00:18:29,es
