screen_names,texts,dates,langs
excessvs,vida italiana llena cliches mismo mano rozo khalid buscaba l,2021-04-28 00:20:33,es
EuSiso,meses comer hamburguesa pasta cuerpo bueno chica entonces,2021-04-28 00:20:28,es
_Sosaluis_,ganas hamburguesa,2021-04-28 00:20:14,es
SierraTeff,milanesa hamburguesa team cafinapp,2021-04-28 00:20:06,es
DraArias,haciendo pan brioche hamburguesa saboreando,2021-04-28 00:19:48,es
aaaannii,dificil querer hamburguesa dejar ser obesa vez,2021-04-28 00:19:47,es
melissagaes,kiero hamburguesa,2021-04-28 00:19:43,es
MarceeAz,unas ganas comerme hamburguesa full salsaaaaa,2021-04-28 00:19:37,es
LunaGilV,hamburguesa lleva pinches frijoles menos bayos mahatma gandhi,2021-04-28 00:19:34,es
CalitoGonzalez,ayer comi hamburguesa mas bueeeena,2021-04-28 00:19:29,es
MajoMCR,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-28 00:19:10,es
MarEV54573240,alguien traigame hamburguesa favoooooooooor,2021-04-28 00:19:10,es
soler_lore,solo unita usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli c,2021-04-28 00:18:57,es
kookego,ahora invitaron hamburguesa papas jajajaja mañana dieta,2021-04-28 00:18:49,es
dianaaazamora,debi comerme hamburguesa media,2021-04-28 00:18:40,es
RappiCuponesAr2,gratis envios codigo matias rappi rappicreditos rappiprime hambre regalo,2021-04-28 00:18:29,es
nataliviviana22,pedir hamburguesa hacer dieta,2021-04-28 00:18:06,es
Mercy_15,antoja hamburguesa jaja bk md jaja porfa jaja quiero ir merida,2021-04-28 00:17:53,es
firchy002,narcolepsie podria ser hamburguesa,2021-04-28 00:17:36,es
_RoNcO,martes pedir hamburguesa completa souffle dejes mañana puedes hacer hoy listo pedida,2021-04-28 00:17:31,es
chotobaarr,q ganas escuchando tan bionica mientras m hamburguesa lloro jajsj,2021-04-28 00:17:27,es
re_kar,ah si buenos combos precio accesible mejor hamburguesa parecer igual,2021-04-28 00:16:11,es
ManuuPortas,mato muero hamburguesa coca,2021-04-28 00:15:51,es
LaExdeCarlos,drama pio pio finisimo paladar comen ahi mucha grasa jartan,2021-04-28 00:15:34,es
Pamelaugh,hoy ejercite aun asi comi hamburguesa nuggets disfrute bueno disfrute c,2021-04-28 00:15:15,es
dare_bo,hace par años empece trabajar clayton primer dia almorzar plaza pedi hamb,2021-04-28 00:14:59,es
RochiMata,salta publicidad hamburguesa papas maldita,2021-04-28 00:14:54,es
pedro9521,lleve hamburguesa mama cara dijo estudiando jajajaja,2021-04-28 00:14:39,es
lourmartinez03,quizas hamburguesa suba animo,2021-04-28 00:14:29,es
blidt,convivir usa marcar comes mostaza pepinillo cilantro pizza piña sushi broco,2021-04-28 00:14:25,es
facuatalaya86,buena hamburguesa,2021-04-28 00:14:11,es
vicebless,tambien hermana vayamos burger comer hamburguesa vegana,2021-04-28 00:13:50,es
kiaraakostiuk,nnas ganas super hamburguesa papas,2021-04-28 00:13:26,es
Bautiiiii_,mama cagaste vida pendejo mierda tambien mama keres pida hamburguesa,2021-04-28 00:12:57,es
EspectadorR_,usa marcar comes mostaza pepinillo cilantro pizza piña sushi,2021-04-28 00:12:51,es
Kaiju_d_Cacao,convivir mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado,2021-04-28 00:12:29,es
starlxghtx,quiero hamburguesa llega hamburguesa ahora voy necesitar dos hamburguesas mas,2021-04-28 00:12:24,es
_PilarCorredor_,solo unita usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli ch,2021-04-28 00:12:02,es
Inrri_engel,viste hamburguesa pasa,2021-04-28 00:11:45,es
Milagros23546,ganas hamburguesa muchas papitas,2021-04-28 00:11:42,es
delfincamila3,ir gimnasio pedirme hamburguesa,2021-04-28 00:11:40,es
pietralucas,veo foto mas hamburguesa pido,2021-04-28 00:11:39,es
__loliluli,dije si pedir hamburguesa papas quiero voy comer pedazo culpa,2021-04-28 00:11:36,es
Pao_10__,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñone,2021-04-28 00:11:22,es
G_sabrinaa,come pan hamburguesa,2021-04-28 00:11:22,es
SnAye09,puede elegir hamburguesa dulce dioooos hamburguesa mil veces,2021-04-28 00:11:10,es
zarraka,ganas hamburguesa,2021-04-28 00:10:59,es
AdriiGatiica7,unico espero pase pueda comer inviten comer mansa hamburguesa pq muero ganassssss,2021-04-28 00:10:17,es
feerto90,ganas hamburguesa libreña,2021-04-28 00:10:13,es
jortizmty,milan milanesa hamburgo hamburguesa,2021-04-28 00:09:50,es
Blckbunny_,hoy anime salir comer solo aqui ayotlan encontre pequeño barcito pedi hamburguesa agua jalisco,2021-04-28 00:09:41,es
ChindyAlo,mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado hamburgues,2021-04-28 00:09:18,es
Roberto76116518,naaaaaaaaa amor x preparar hamburguesa veritas veritas,2021-04-28 00:09:03,es
bostero_viejo,hamburguesa completa fritas birra miras boca,2021-04-28 00:08:58,es
diegoazulz,hartas ganas hamburguesa triple papas fritas coca cola light obvio,2021-04-28 00:08:39,es
LaCrestaNoSeCae,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones hig,2021-04-28 00:08:30,es
PriscilaaAndres,hamburguesa comido si ultima comida jajajaja hace años comia bembos,2021-04-28 00:08:17,es
louchiquito0,haria feliz hamburguesa carls junior,2021-04-28 00:08:10,es
_aymabarrera,vlazqssj callate q despues haces cambiarme remeras taparme precio pago salir comer hamburguesa,2021-04-28 00:07:56,es
h_elen_grace,siento reniegue fandoms pasa peña osea hamburguesa va tener im,2021-04-28 00:07:48,es
TeideTweet,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñone,2021-04-28 00:07:41,es
devilyangie,fans ardidas respuestas x hamburguesa cosa favorita,2021-04-28 00:07:32,es
Joakoelias20,ganas ir comer hamburguesa obvio siempre,2021-04-28 00:07:31,es
NasWilliamsWho,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñone,2021-04-28 00:07:26,es
jeongusky,jimin si m fiel ahora comiendose alta hamburguesa lado asi q callense lt,2021-04-28 00:07:21,es
Danielaydaa,mostaza pepinillo cilantro pizza piña sushi brocoli champiñones higado hamburguesa hot dogs aceitu,2021-04-28 00:07:15,es
pomarassic,usa marcar comes mostaza pepinillo cilantro pizza piña sushi brocoli champiñones,2021-04-28 00:07:02,es
palogomez__,quiero hamburguesa,2021-04-28 00:06:44,es
camif_20,quieor hamburguesa,2021-04-28 00:06:16,es
guadabenavidez3,m voy comprar hamburguesa black pq unico q m hace bien,2021-04-28 00:05:42,es
sigosiendonuevo,confuso episodio vez escribir tuit pedi delivery hamburguesa doble papas fritas tambien,2021-04-28 00:05:35,es
Rriita,quiero hamburguesa condor,2021-04-28 00:05:23,es
quischur,quiero pizza hamburguesa malteada helado gigante dulces chocolates perrito caliente transmilenio,2021-04-28 00:05:21,es
marrrzelito,vi video tiktok chabon diciendo tirar carne picada varias veces mesada qu,2021-04-28 00:05:08,es
