,screen_names,texts,dates,langs
0,barbydanu,Hoy es de esos días que solo quiero llorar y solo una hamburguesa con papas puede salvarme,2021-04-27 23:31:26,es
1,Mike_argen,"@_MANUnlimited @InsideHBOMax Pero quien quiera disfrutarlos esta en todo su derecho. A mi en lo personal, y después… https://t.co/7fyV4ncRXN",2021-04-27 23:06:16,es
2,Casssquito,Y una hamburguesa con abundante cheddar,2021-04-27 22:38:04,es
3,guadagaro12,Que ganas de una hamburguesa con papas🤤🤤,2021-04-27 22:20:26,es
4,giufinocchio_,Se me antojo una buena hamburguesa con cheddar a las 18:00 de la tarde bien che,2021-04-27 21:02:13,es
5,EzeCambon,Que ganas de tremenda hamburguesa con queso,2021-04-27 20:57:37,es
6,kmi_sanchez22,Que ganas de una hamburguesa con mucho cheddar o unos sanguchitos de miga,2021-04-27 19:02:07,es
7,Willi_o03,Hace cuanto no comia una hamburguesa con papas de la esquina de la plaza😋🤤,2021-04-27 17:46:20,es
8,SofiaOyarzabal,Puedo estar comiendo una hamburguesa con papas fritas pero OJO yo te lo bajo con agua siempre,2021-04-27 15:32:09,es
9,_ccandediaz,las ganas que tengo de comer una buena hamburguesa con papas xdiooos,2021-04-27 14:38:57,es
10,candlasequeira,"vinimos a honorio y pedimos:
- una chocolatada con medialunas
- café con tostados
-un súper Pancho con papas con ch… https://t.co/uVs4g30lfr",2021-04-27 10:47:05,es
11,tania_leguizamo,me dio hambre de una hamburguesa con mucha panceta,2021-04-27 05:04:08,es
12,micaelasilveir_,"gente please, yo soy la persona que fue al bk, se comió una hamburguesa con el pan casi carbonizado y no fue a pedi… https://t.co/sH94CXCuRF",2021-04-27 03:21:14,es
13,luzfernandezzz,"yo: lloro xq estoy gorda y tengo granitos 
tmb yo: desde el viernes como hamburguesa con papas fritas todos los días",2021-04-27 01:56:43,es
14,MelaaRoman,"Muero por una hamburguesa con papas y birra, quien me mando a vivir tan lejos q no llega ningún lugar :'(",2021-04-27 01:39:11,es
15,romii_ailen,"gracias brian por existir y mandarme hamburguesa con papas cheddar, bendiciones ahre",2021-04-27 01:27:34,es
16,hernandroblas,@andres_krom Extraño ir a Creep en MDQ. La mejor hamburguesa con provo,2021-04-27 01:22:54,es
17,antoleon__,solo una hamburguesa con mucho cheddar sanará mi corazón,2021-04-27 01:13:53,es
18,EliiiGonzalez_,Festeje que salve un parcial comiendo hamburguesa con fideos 😳,2021-04-27 01:09:18,es
19,Urzagastievelyn,Necesito una hamburguesa con papitas!!¡!!,2021-04-27 01:02:45,es
20,Joaamolina_,que ganas de una hamburguesa con mucho cheddar wacho quien me regala 🤧,2021-04-26 23:21:13,es
21,castrovillarit,Es todo risas hasta que estoy 2 días terminando de comer una simple hamburguesa con papas y encima me empacho,2021-04-26 20:10:52,es
22,Abigailprozz,Unas ganas de una hamburguesa con papitas,2021-04-26 17:36:59,es
23,BebenCami,ya están picando las ganas de una hamburguesa con papas y cheddar,2021-04-26 16:28:29,es
24,SofiaMDesima,que ganas de una hamburguesa con papas 🥺🥺,2021-04-26 16:26:26,es
25,MaxiFarragut_,Che con carpa me clavaría una hamburguesa con cheddar y bacon a esta hora,2021-04-26 13:01:51,es
26,GallitodeM,Yo de hamburguesa con queso de mc https://t.co/8P8ygVMCKh,2021-04-26 10:07:50,es
