,screen_names,texts,dates,langs
0,excessvs,"+ que es broma!

No tardó mucho más en localizar la primera peli de Harry Potter, y cuando la puso a pantalla compl… https://t.co/alCihYKZ1R",2021-04-27 23:37:55,es
1,rokha_,"@rodrigo_maldini Y tampoco la hamburguesa con palta, ahora entiendo todo.",2021-04-27 23:34:44,es
2,msol_dp,Que ganas de una hamburguesa con papas 🥺,2021-04-27 23:33:48,es
3,barbydanu,Hoy es de esos días que solo quiero llorar y solo una hamburguesa con papas puede salvarme,2021-04-27 23:31:26,es
4,londonvboy,me comi una hamburguesa con papas y me cayo muy pesada voy a vomitar igual valio la pens estaba re rica,2021-04-27 23:29:22,es
5,Danasheeran_,Acabo de comer hamburguesa con papitas ya estoy feliz :),2021-04-27 23:27:56,es
6,yerikisser,por una hamburguesa con unas papas de mierda vais a mandar correos quejandoos a la compañía de los empleados???? so… https://t.co/sSxKSBMFcU,2021-04-27 23:25:43,es
7,NoemiCastro05,Que antojooo de una hamburguesa con salasa BBQ,2021-04-27 23:25:08,es
8,NadiaaOrtega,Hola alguien me regala una hamburguesa con papa frita me haría muy muy feliz,2021-04-27 23:20:37,es
9,golden_indra,@hainekenx a pero una hamburguesa con queso y combo de gintama 🐐🐐 https://t.co/8BSwhF6Z37,2021-04-27 23:17:45,es
10,hitchersita,Quiero una hamburguesa con tres extras de cheddar y tocineta 😭😭😭,2021-04-27 23:12:50,es
11,jeanette01414,"Los licenciados podrían no dar ejemplos con comida por favor!? 🥺
Siempre se me antoja una hamburguesa con coca alv",2021-04-27 23:12:30,es
12,autumnplanet,"@Oye897 @BTS_twt ¡Estamos muy emocionados! Definitivamente es algo que esperamos en el país, se me antoja también u… https://t.co/IN9ZVLZFnk",2021-04-27 23:11:49,es
13,valentinavcg11,"Una hamburguesa con muchas papas, arreglaría este día 😑",2021-04-27 23:11:38,es
14,Mike_argen,"@_MANUnlimited @InsideHBOMax Pero quien quiera disfrutarlos esta en todo su derecho. A mi en lo personal, y después… https://t.co/7fyV4ncRXN",2021-04-27 23:06:16,es
15,Meliaispuru,queee ganas de una hamburguesa con fritas,2021-04-27 23:01:39,es
16,susy61878501,Quiero una hamburguesa con un chingo de papas,2021-04-27 22:56:49,es
17,yanet_gon2ale2,Unas ganas de una hamburguesa con papas bue,2021-04-27 22:54:42,es
